Category,Value,Question,Answer,class
BILLBOARD MAGAZINE,None,"Launched in 2004, Billboard's first Top 20 chart for these included ""My Boo"", the ""Halloween"" theme & ""Ice Ice Baby""",ringtones,Non-Fiction
HISTORIC QUOTES,$1000,"In 1798 Robert Goodloe Harper said, ""Millions for defense, but not one cent for"" this",Tribute,Non-Fiction
WORLD WAR II,$800,Germany's ME-262 jet fighter was made by this manufacturer,Messerschmitt,Non-Fiction
HAUNTED AMERICA,$600,"Woodburn, the Dover home of this state's governor, is said to have several resident ghosts",Delaware,Non-Fiction
HORTON HEARS A HOOSIER,$200,"This aviator first flew into the world near Millville on April 16, 1867; Orville landed in Ohio in 1871",Wilbur Wright,Non-Fiction
WILLIAM PENNED,$600,"In ""Lord of the Flies"" he explored the dark side of human nature",William Golding,Non-Fiction
BONE UP ON YOUR BONAPARTE,$400,The admiral who defeated Napoleon's navy in 1798's Battle of the Nile,Lord Nelson,Non-Fiction
'50s SONG LYRICS,$300,"This Carl Perkins hit begins, ""Well, it's one for the money, two for the show....""","""Blue Suede Shoes""",Fiction
CLAWS,$1000,"An animal that retracts its claws pulls them back into this, which also means the holder for a sword",sheath,Science/Geography
HURRY UP!!!,$800,"""I feel the need... the need for speed!"" is a line from this high-octane Tom Cruise movie",Top Gun,Fiction
CAPITAL PUNISHMENT,$200,Mata Hari,Firing Squad,Non-Fiction
CONSTELLATIONS,$800,"Ptolemy listed a constellation named for this, Jason's ship; it's been replaced by Carina, Puppis, Pyxis & Vela",the Argo,Non-Fiction
DOCS,$1000,"Hans Selye pioneered the study of this & wrote a book about it ""without distress""",Stress,Science/Geography
BREAKFAST CEREALS,$600,Disney Buzz Blasts was inspired by this movie,Toy Story,Fiction
PAUL REVERE,$800,In 1801 Revere opened America's first copper-rolling mill; he later made copper sheeting for this ship's hull,the Constitution,Non-Fiction
"THE BIRDS & THE ""B""s",$400,"Take these broken wings & learn to fly, you Turdus merula, aka this colorful bird",blackbird,Science/Geography
CARE TO SEE MY ETCHINGS?,$600,"One of his most famous etchings is ""Christ Healing the Sick"", aka ""The 100-Guilder Print"", completed in the 1640s",Rembrandt,Non-Fiction
TASMANIAN TIDBITS,$100,Tasmania is this country's smallest state,Australia,Non-Fiction
NATIVE AMERICANS,$600,"A member of the Kaw tribe of Kansas, Charles Curtis was vice president under this man from 1929 to 1933",(Herbert) Hoover,Non-Fiction
FRENCH AUTHORS,$800,"Born Amandine Aurore Lucile Dupin, she chose this pseudonym for her 1st novel, 1832's ""Indiana""",George Sand,Non-Fiction
HISTORIC AMERICANS,$1000,"As chief justice from 1864 to 1873, he presided at the impeachment trial of Andrew Johnson",Salmon P. Chase,Non-Fiction
LETTER PERFECT,$600,It's the Roman numeral for 500,D,Non-Fiction
10-LETTER WORDS,$400,It's the pigment that makes red blood cells red,Hemoglobin,Science/Geography
FORMULA2,$800,"SnF<sub>2</sub>, found in toothpaste, is also called stannous this",fluoride,Science/Geography
THE SMALLEST IN AREA,$200,"Andorra, Monaco, Vatican City",Vatican City,Non-Fiction
POTENT POTABLES,$2000,The desert plant used to make tequila is blue this,agave,Non-Fiction
AMERICAN SIGN LANGUAGE,$800,"<a href=""http://www.j-archive.com/media/2009-01-28_J_29.jpg"" target=""_blank"">This</a> area of land with a specific use is of grave importance",graveyard (cemetery),Non-Fiction
"""XE""-LENT",$1000,An unreasonable fear or hatred of foreigners,xenophobia,Non-Fiction
"""G""-RATED COUNTRIES",$400,"Situated at the far south of the Balkan peninsula, its territory includes more than 1,400 islands",Greece,Non-Fiction
THE HILLS ARE ALIVE,$800,"Wold, a Middle English geographical word, gave us the name of these hills, home to Bath & Cheltenham",the Cotswolds,Non-Fiction
APOCRYPHA NOW,$800,"O! Don't you cry for this woman, whose Apocryphal history finds her falsely accused of adultery",Susanna,Fiction
"CROSSWORD CLUES ""L""",$600,"Mario, of movie musicals (5)",Lanza,Non-Fiction
FIRE WHEN READY,$200,"The October 1871 fire in this U.S. city burned more than 17,000 buildings & claimed 250 lives",Chicago,Non-Fiction
FAMOUS NAMES,$200,Fred Noonan was navigator on the 1937 around-the-world flight on which she disappeared,Amelia Earhart,Non-Fiction
FROM A TO Y,$1000,"After that bitter divorce, you might have to pay this, spousal support",alimony,Non-Fiction
VWLLSS VGTBLS,$800,RTBG,rutabaga,Non-Fiction
'50'S TV,$200,"Occupation of Richard Diamond, Peter Gunn & Mike Hammer",private eyes (or private detectives),Fiction
OSCAR YOUNGEST/OLDEST,"$8,800",Youngest Best Actor winner: This 29-year-old in 2003 for a WWII-set film,Adrien Brody,Non-Fiction
BODIES OF WATER,$100,The Foxe Channel connects the Arctic Ocean with this huge Canadian bay,Hudson Bay,Science/Geography
DOGS,$300,"Of the Brussels Dragon, the Brussels Unicorn or the Brussels Griffon, the one that's a dog",a Brussels Griffon,Non-Fiction
BROADWAY SHOWS BY ROLES,$1200,"The French Taunter, Tim the Enchanter, Concorde",Spamalot,Fiction
TREATIES,$400,The 1979 Israel-Egypt Peace Treaty allowed Israel access to this man-made waterway,the Suez Canal,Non-Fiction
"DESERVES AN ""ITHER""",$600,Ruth Welcome was a virtuoso on this musical instrument,the zither,Non-Fiction
SHAKESPEAREAN CHARACTERS,$400,"Of Elbow, Knee, or Blister, the one who's a simple constable in ""Measure For Measure""",Elbow,Fiction
"""E"" TIMES 3",$800,"An accused person in court, along with his counsel",the defense,Non-Fiction
"""EAU"", YEAH!",$800,"From the Old French for ""flame"", it's a large ornamental candlestick",flambeau,Non-Fiction
PEZ,$200,"In 1927 an Austrian candy man created the name ""Pez"" by shortening the German word ""Pfefferminz"" (this flavor)",peppermint,Non-Fiction
FRENCH CUISINE,$100,"Popeye might like epinards au beurre, which is this vegetable with butter",spinach,Non-Fiction
BRANDS,$1600,This candy-coated gum brand is named for a substance used to make gum,Chiclets,Non-Fiction
SNL ALUMNI,$600,In 1999 he pumped up nightclubs with a musical tribute to his hero Frank Sinatra,Joe Piscopo,Non-Fiction
ANAGRAMMED SHAKESPEARE PLAYS,$400,"""Hell too""",Othello,Fiction
"IT'S ALWAYS ABOUT ""U""",$1000,The language known as Hindi is very close to this official language of Pakistan,Urdu,Non-Fiction
